Bacterium_strain | Antibiotic | Year | Country | Resistance percent (DEFAULT SET TO 1)
Acinetobacter | Fluoroquinolones | 2013 | Iceland | 1
Acinetobacter | Fluoroquinolones | 2013 | Luxembourg | 1
Acinetobacter | Fluoroquinolones | 2014 | Belgium | 1
Acinetobacter | Fluoroquinolones | 2014 | Finland  | 6.5
Acinetobacter | Fluoroquinolones | 2014 | Sweden  | 11.5
Acinetobacter | Fluoroquinolones | 2014 | Ireland  | 4.7
Acinetobacter | Fluoroquinolones | 2014 | Denmark  | 2.9
Acinetobacter | Fluoroquinolones | 2014 | Netherlands  | 4.2
Acinetobacter | Fluoroquinolones | 2014 | UnitedKingdom  | 11.4
Acinetobacter | Fluoroquinolones | 2014 | Germany  | 6.0
Acinetobacter | Fluoroquinolones | 2014 | Norway  | 5.9
Acinetobacter | Fluoroquinolones | 2014 | Malta  | 30.0
Acinetobacter | Fluoroquinolones | 2014 | France  | 11.9
Acinetobacter | Fluoroquinolones | 2014 | Austria  | 5.3
Acinetobacter | Fluoroquinolones | 2014 | CzechRepublic  | 15.3
Acinetobacter | Fluoroquinolones | 2014 | Slovakia  | 51.8
Acinetobacter | Fluoroquinolones | 2014 | Portugal  | 52.7
Acinetobacter | Fluoroquinolones | 2014 | Slovenia  | 41.2
Acinetobacter | Fluoroquinolones | 2014 | Spain  | 67.1
Acinetobacter | Fluoroquinolones | 2014 | Hungary  | 66.4
Acinetobacter | Fluoroquinolones | 2014 | Latvia  | 88.5
Acinetobacter | Fluoroquinolones | 2014 | Bulgaria  | 73.9
Acinetobacter | Fluoroquinolones | 2014 | Italy  | 92.1
Acinetobacter | Fluoroquinolones | 2014 | Romania  | 83.7
Acinetobacter | Fluoroquinolones | 2014 | Cyprus  | 77.6
Acinetobacter | Fluoroquinolones | 2014 | Poland  | 82.7
Acinetobacter | Fluoroquinolones | 2014 | Croatia  | 92.1
Acinetobacter | Fluoroquinolones | 2014 | Lithuania  | 84.8
Acinetobacter | Fluoroquinolones | 2014 | Greece  | 95.3
Acinetobacter | Fluoroquinolones | 2014 | Estonia | 1
Acinetobacter | Fluoroquinolones | 2014 | Iceland | 1
Acinetobacter | Fluoroquinolones | 2014 | Luxembourg | 1
Acinetobacter | Fluoroquinolones | 2015 | Belgium  | 0.0
Acinetobacter | Fluoroquinolones | 2015 | Finland  | 2.3
Acinetobacter | Fluoroquinolones | 2015 | Sweden  | 3.8
Acinetobacter | Fluoroquinolones | 2015 | Ireland  | 4.8
Acinetobacter | Fluoroquinolones | 2015 | Denmark  | 5.9
Acinetobacter | Fluoroquinolones | 2015 | Netherlands  | 6.8
Acinetobacter | Fluoroquinolones | 2015 | UnitedKingdom  | 7.2
Acinetobacter | Fluoroquinolones | 2015 | Germany  | 8.6
Acinetobacter | Fluoroquinolones | 2015 | Norway  | 9.4
Acinetobacter | Fluoroquinolones | 2015 | Malta  | 13.3
Acinetobacter | Fluoroquinolones | 2015 | France  | 13.5
Acinetobacter | Fluoroquinolones | 2015 | Austria  | 16.4
Acinetobacter | Fluoroquinolones | 2015 | CzechRepublic  | 18.3
Acinetobacter | Fluoroquinolones | 2015 | Slovakia  | 51.9
Acinetobacter | Fluoroquinolones | 2015 | Portugal  | 55.8
Acinetobacter | Fluoroquinolones | 2015 | Slovenia  | 58.1
Acinetobacter | Fluoroquinolones | 2015 | Spain  | 64.2
Acinetobacter | Fluoroquinolones | 2015 | Hungary  | 68.1
Acinetobacter | Fluoroquinolones | 2015 | Latvia  | 78.3
Acinetobacter | Fluoroquinolones | 2015 | Bulgaria  | 78.6
Acinetobacter | Fluoroquinolones | 2015 | Italy  | 81.6
Acinetobacter | Fluoroquinolones | 2015 | Romania  | 82.5
Acinetobacter | Fluoroquinolones | 2015 | Cyprus  | 83.3
Acinetobacter | Fluoroquinolones | 2015 | Poland  | 88.1
Acinetobacter | Fluoroquinolones | 2015 | Croatia  | 92.3
Acinetobacter | Fluoroquinolones | 2015 | Lithuania  | 93.2
Acinetobacter | Fluoroquinolones | 2015 | Greece  | 94.9
Acinetobacter | Fluoroquinolones | 2015 | Estonia | 1
Acinetobacter | Fluoroquinolones | 2015 | Iceland | 1
Acinetobacter | Fluoroquinolones | 2015 | Luxembourg | 1
Acinetobacter | Aminoglycosides | 2012 | Belgium | 1
Acinetobacter | Aminoglycosides | 2012 | UnitedKingdom  | 2.8
Acinetobacter | Aminoglycosides | 2012 | Finland | 1
Acinetobacter | Aminoglycosides | 2012 | Ireland | 1
Acinetobacter | Aminoglycosides | 2012 | Sweden | 1
Acinetobacter | Aminoglycosides | 2012 | Denmark  | 10.4
Acinetobacter | Aminoglycosides | 2012 | Germany  | 5.9
Acinetobacter | Aminoglycosides | 2012 | Austria | 1
Acinetobacter | Aminoglycosides | 2012 | Norway  | 4.0
Acinetobacter | Aminoglycosides | 2012 | Netherlands  | 1.7
Acinetobacter | Aminoglycosides | 2012 | France  | 12.9
Acinetobacter | Aminoglycosides | 2012 | Malta | 1
Acinetobacter | Aminoglycosides | 2012 | CzechRepublic | 1
Acinetobacter | Aminoglycosides | 2012 | Slovenia  | 20.0
Acinetobacter | Aminoglycosides | 2012 | Slovakia | 1
Acinetobacter | Aminoglycosides | 2012 | Portugal  | 65.1
Acinetobacter | Aminoglycosides | 2012 | Spain | 1
Acinetobacter | Aminoglycosides | 2012 | Latvia | 1
Acinetobacter | Aminoglycosides | 2012 | Hungary  | 68.8
Acinetobacter | Aminoglycosides | 2012 | Poland  | 70.1
Acinetobacter | Aminoglycosides | 2012 | Bulgaria  | 58.5
Acinetobacter | Aminoglycosides | 2012 | Cyprus  | 52.2
Acinetobacter | Aminoglycosides | 2012 | Italy  | 83.3
Acinetobacter | Aminoglycosides | 2012 | Romania  | 57.4
Acinetobacter | Aminoglycosides | 2012 | Greece  | 78.1
Acinetobacter | Aminoglycosides | 2012 | Croatia | 1
Acinetobacter | Aminoglycosides | 2012 | Lithuania | 1
Acinetobacter | Aminoglycosides | 2012 | Estonia | 1
Acinetobacter | Aminoglycosides | 2012 | Iceland | 1
Acinetobacter | Aminoglycosides | 2012 | Luxembourg | 1
Acinetobacter | Aminoglycosides | 2013 | Belgium | 1
Acinetobacter | Aminoglycosides | 2013 | UnitedKingdom  | 2.5
Acinetobacter | Aminoglycosides | 2013 | Finland  | 0.0
Acinetobacter | Aminoglycosides | 2013 | Ireland  | 1.1
Acinetobacter | Aminoglycosides | 2013 | Sweden  | 8.1
Acinetobacter | Aminoglycosides | 2013 | Denmark  | 1.3
Acinetobacter | Aminoglycosides | 2013 | Germany  | 6.1
Acinetobacter | Aminoglycosides | 2013 | Austria  | 9.8
Acinetobacter | Aminoglycosides | 2013 | Norway  | 2.8
Acinetobacter | Aminoglycosides | 2013 | Netherlands  | 4.5
Acinetobacter | Aminoglycosides | 2013 | France  | 11.2
Acinetobacter | Aminoglycosides | 2013 | Malta | 1
Acinetobacter | Aminoglycosides | 2013 | CzechRepublic  | 15.4
Acinetobacter | Aminoglycosides | 2013 | Slovenia  | 16.0
Acinetobacter | Aminoglycosides | 2013 | Slovakia  | 42.8
Acinetobacter | Aminoglycosides | 2013 | Portugal  | 56.3
Acinetobacter | Aminoglycosides | 2013 | Spain  | 68.8
Acinetobacter | Aminoglycosides | 2013 | Latvia | 1
Acinetobacter | Aminoglycosides | 2013 | Hungary  | 63.2
Acinetobacter | Aminoglycosides | 2013 | Poland  | 73.3
Acinetobacter | Aminoglycosides | 2013 | Bulgaria  | 58.2
Acinetobacter | Aminoglycosides | 2013 | Cyprus  | 60.6
Acinetobacter | Aminoglycosides | 2013 | Italy  | 81.8
Acinetobacter | Aminoglycosides | 2013 | Romania  | 80.3
Acinetobacter | Aminoglycosides | 2013 | Greece  | 82.0
Acinetobacter | Aminoglycosides | 2013 | Croatia  | 84.1
Acinetobacter | Aminoglycosides | 2013 | Lithuania | 1
Acinetobacter | Aminoglycosides | 2013 | Estonia | 1
Acinetobacter | Aminoglycosides | 2013 | Iceland | 1
Acinetobacter | Aminoglycosides | 2013 | Luxembourg | 1
Acinetobacter | Aminoglycosides | 2014 | Belgium | 1
Acinetobacter | Aminoglycosides | 2014 | UnitedKingdom  | 10.1
Acinetobacter | Aminoglycosides | 2014 | Finland  | 3.2
Acinetobacter | Aminoglycosides | 2014 | Ireland  | 2.2
Acinetobacter | Aminoglycosides | 2014 | Sweden  | 2.8
Acinetobacter | Aminoglycosides | 2014 | Denmark  | 1.7
Acinetobacter | Aminoglycosides | 2014 | Germany  | 4.1
Acinetobacter | Aminoglycosides | 2014 | Austria  | 8.9
Acinetobacter | Aminoglycosides | 2014 | Norway  | 3.0
Acinetobacter | Aminoglycosides | 2014 | Netherlands  | 5.5
Acinetobacter | Aminoglycosides | 2014 | France  | 8.3
Acinetobacter | Aminoglycosides | 2014 | Malta  | 30.0
Acinetobacter | Aminoglycosides | 2014 | CzechRepublic  | 10.2
Acinetobacter | Aminoglycosides | 2014 | Slovenia  | 32.4
Acinetobacter | Aminoglycosides | 2014 | Slovakia  | 40.6
Acinetobacter | Aminoglycosides | 2014 | Portugal  | 42.3
Acinetobacter | Aminoglycosides | 2014 | Spain  | 58.8
Acinetobacter | Aminoglycosides | 2014 | Latvia  | 69.2
Acinetobacter | Aminoglycosides | 2014 | Hungary  | 59.5
Acinetobacter | Aminoglycosides | 2014 | Poland  | 58.5
Acinetobacter | Aminoglycosides | 2014 | Bulgaria  | 60.9
Acinetobacter | Aminoglycosides | 2014 | Cyprus  | 73.7
Acinetobacter | Aminoglycosides | 2014 | Italy  | 88.3
Acinetobacter | Aminoglycosides | 2014 | Romania  | 77.0
Acinetobacter | Aminoglycosides | 2014 | Greece  | 83.9
Acinetobacter | Aminoglycosides | 2014 | Croatia  | 82.5
Acinetobacter | Aminoglycosides | 2014 | Lithuania  | 80.0
Acinetobacter | Aminoglycosides | 2014 | Estonia | 1
Acinetobacter | Aminoglycosides | 2014 | Iceland | 1
Acinetobacter | Aminoglycosides | 2014 | Luxembourg | 1
Acinetobacter | Aminoglycosides | 2015 | Belgium  | 0.0
Acinetobacter | Aminoglycosides | 2015 | UnitedKingdom  | 2.0
Acinetobacter | Aminoglycosides | 2015 | Finland  | 2.4
Acinetobacter | Aminoglycosides | 2015 | Ireland  | 3.8
Acinetobacter | Aminoglycosides | 2015 | Sweden  | 3.8
Acinetobacter | Aminoglycosides | 2015 | Denmark  | 4.8
Acinetobacter | Aminoglycosides | 2015 | Germany  | 5.5
Acinetobacter | Aminoglycosides | 2015 | Austria  | 6.3
Acinetobacter | Aminoglycosides | 2015 | Norway  | 9.4
Acinetobacter | Aminoglycosides | 2015 | Netherlands  | 10.8
Acinetobacter | Aminoglycosides | 2015 | France  | 11.1
Acinetobacter | Aminoglycosides | 2015 | Malta  | 13.3
Acinetobacter | Aminoglycosides | 2015 | CzechRepublic  | 15.0
Acinetobacter | Aminoglycosides | 2015 | Slovenia  | 41.9
Acinetobacter | Aminoglycosides | 2015 | Slovakia  | 42.9
Acinetobacter | Aminoglycosides | 2015 | Portugal  | 46.5
Acinetobacter | Aminoglycosides | 2015 | Spain  | 49.0
Acinetobacter | Aminoglycosides | 2015 | Latvia  | 59.0
Acinetobacter | Aminoglycosides | 2015 | Hungary  | 60.6
Acinetobacter | Aminoglycosides | 2015 | Poland  | 70.2
Acinetobacter | Aminoglycosides | 2015 | Bulgaria  | 74.1
Acinetobacter | Aminoglycosides | 2015 | Cyprus  | 74.6
Acinetobacter | Aminoglycosides | 2015 | Italy  | 74.7
Acinetobacter | Aminoglycosides | 2015 | Romania  | 80.9
Acinetobacter | Aminoglycosides | 2015 | Greece  | 83.7
Acinetobacter | Aminoglycosides | 2015 | Croatia  | 88.3
Acinetobacter | Aminoglycosides | 2015 | Lithuania  | 90.4
Acinetobacter | Aminoglycosides | 2015 | Estonia | 1
Acinetobacter | Aminoglycosides | 2015 | Iceland | 1
Acinetobacter | Aminoglycosides | 2015 | Luxembourg | 1
Acinetobacter | Carbapenems | 2012 | Belgium | 1
Acinetobacter | Carbapenems | 2012 | UnitedKingdom  | 2.5
Acinetobacter | Carbapenems | 2012 | Finland | 1
Acinetobacter | Carbapenems | 2012 | Sweden | 1
Acinetobacter | Carbapenems | 2012 | Netherlands  | 6.0
Acinetobacter | Carbapenems | 2012 | Denmark  | 9.4
Acinetobacter | Carbapenems | 2012 | France  | 3.3
Acinetobacter | Carbapenems | 2012 | Ireland | 1
Acinetobacter | Carbapenems | 2012 | Germany  | 6.6
Acinetobacter | Carbapenems | 2012 | CzechRepublic | 1
Acinetobacter | Carbapenems | 2012 | Austria | 1
Acinetobacter | Carbapenems | 2012 | Norway  | 0.0
Acinetobacter | Carbapenems | 2012 | Malta | 1
Acinetobacter | Carbapenems | 2012 | Slovakia | 1
Acinetobacter | Carbapenems | 2012 | Slovenia  | 24.0
Acinetobacter | Carbapenems | 2012 | Spain | 1
Acinetobacter | Carbapenems | 2012 | Hungary  | 48.1
Acinetobacter | Carbapenems | 2012 | Portugal  | 79.2
Acinetobacter | Carbapenems | 2012 | Poland  | 38.2
Acinetobacter | Carbapenems | 2012 | Latvia | 1
Acinetobacter | Carbapenems | 2012 | Bulgaria  | 60.3
Acinetobacter | Carbapenems | 2012 | Italy  | 83.1
Acinetobacter | Carbapenems | 2012 | Lithuania | 1
Acinetobacter | Carbapenems | 2012 | Romania  | 81.5
Acinetobacter | Carbapenems | 2012 | Cyprus  | 56.5
Acinetobacter | Carbapenems | 2012 | Croatia | 1
Acinetobacter | Carbapenems | 2012 | Greece  | 87.8
Acinetobacter | Carbapenems | 2012 | Estonia | 1
Acinetobacter | Carbapenems | 2012 | Iceland | 1
Acinetobacter | Carbapenems | 2012 | Luxembourg | 1
Acinetobacter | Carbapenems | 2013 | Belgium | 1
Acinetobacter | Carbapenems | 2013 | UnitedKingdom  | 2.0
Acinetobacter | Carbapenems | 2013 | Finland  | 0.0
Acinetobacter | Carbapenems | 2013 | Sweden  | 5.6
Acinetobacter | Carbapenems | 2013 | Netherlands  | 1.5
Acinetobacter | Carbapenems | 2013 | Denmark  | 1.6
Acinetobacter | Carbapenems | 2013 | France  | 5.9
Acinetobacter | Carbapenems | 2013 | Ireland  | 2.4
Acinetobacter | Carbapenems | 2013 | Germany  | 8.9
Acinetobacter | Carbapenems | 2013 | CzechRepublic  | 4.4
Acinetobacter | Carbapenems | 2013 | Austria  | 7.8
Acinetobacter | Carbapenems | 2013 | Norway  | 0.0
Acinetobacter | Carbapenems | 2013 | Malta | 1
Acinetobacter | Carbapenems | 2013 | Slovakia  | 45.8
Acinetobacter | Carbapenems | 2013 | Slovenia  | 24.0
Acinetobacter | Carbapenems | 2013 | Spain  | 75.8
Acinetobacter | Carbapenems | 2013 | Hungary  | 50.1
Acinetobacter | Carbapenems | 2013 | Portugal  | 69.0
Acinetobacter | Carbapenems | 2013 | Poland  | 49.7
Acinetobacter | Carbapenems | 2013 | Latvia | 1
Acinetobacter | Carbapenems | 2013 | Bulgaria  | 59.6
Acinetobacter | Carbapenems | 2013 | Italy  | 79.5
Acinetobacter | Carbapenems | 2013 | Lithuania | 1
Acinetobacter | Carbapenems | 2013 | Romania  | 85.4
Acinetobacter | Carbapenems | 2013 | Cyprus  | 60.6
Acinetobacter | Carbapenems | 2013 | Croatia  | 89.5
Acinetobacter | Carbapenems | 2013 | Greece  | 90.6
Acinetobacter | Carbapenems | 2013 | Estonia | 1
Acinetobacter | Carbapenems | 2013 | Iceland | 1
Acinetobacter | Carbapenems | 2013 | Luxembourg | 1
Acinetobacter | Carbapenems | 2014 | Belgium | 1
Acinetobacter | Carbapenems | 2014 | UnitedKingdom  | 1.7
Acinetobacter | Carbapenems | 2014 | Finland  | 3.1
Acinetobacter | Carbapenems | 2014 | Sweden  | 3.8
Acinetobacter | Carbapenems | 2014 | Netherlands  | 0.0
Acinetobacter | Carbapenems | 2014 | Denmark  | 1.6
Acinetobacter | Carbapenems | 2014 | France  | 2.5
Acinetobacter | Carbapenems | 2014 | Ireland  | 1.3
Acinetobacter | Carbapenems | 2014 | Germany  | 5.5
Acinetobacter | Carbapenems | 2014 | CzechRepublic  | 5.1
Acinetobacter | Carbapenems | 2014 | Austria  | 6.4
Acinetobacter | Carbapenems | 2014 | Norway  | 2.9
Acinetobacter | Carbapenems | 2014 | Malta  | 10.0
Acinetobacter | Carbapenems | 2014 | Slovakia  | 32.9
Acinetobacter | Carbapenems | 2014 | Slovenia  | 26.5
Acinetobacter | Carbapenems | 2014 | Spain  | 65.4
Acinetobacter | Carbapenems | 2014 | Hungary  | 44.5
Acinetobacter | Carbapenems | 2014 | Portugal  | 53.1
Acinetobacter | Carbapenems | 2014 | Poland  | 53.4
Acinetobacter | Carbapenems | 2014 | Latvia  | 78.8
Acinetobacter | Carbapenems | 2014 | Bulgaria  | 59.1
Acinetobacter | Carbapenems | 2014 | Italy  | 89.9
Acinetobacter | Carbapenems | 2014 | Lithuania  | 69.7
Acinetobacter | Carbapenems | 2014 | Romania  | 81.3
Acinetobacter | Carbapenems | 2014 | Cyprus  | 77.6
Acinetobacter | Carbapenems | 2014 | Croatia  | 87.3
Acinetobacter | Carbapenems | 2014 | Greece  | 93.2
Acinetobacter | Carbapenems | 2014 | Estonia | 1
Acinetobacter | Carbapenems | 2014 | Iceland | 1
Acinetobacter | Carbapenems | 2014 | Luxembourg | 1
Acinetobacter | Carbapenems | 2015 | Belgium  | 0.0
Acinetobacter | Carbapenems | 2015 | UnitedKingdom  | 0.8
Acinetobacter | Carbapenems | 2015 | Finland  | 2.3
Acinetobacter | Carbapenems | 2015 | Sweden  | 2.9
Acinetobacter | Carbapenems | 2015 | Netherlands  | 4.1
Acinetobacter | Carbapenems | 2015 | Denmark  | 4.6
Acinetobacter | Carbapenems | 2015 | France  | 5.6
Acinetobacter | Carbapenems | 2015 | Ireland  | 6.0
Acinetobacter | Carbapenems | 2015 | Germany  | 6.6
Acinetobacter | Carbapenems | 2015 | CzechRepublic  | 6.7
Acinetobacter | Carbapenems | 2015 | Austria  | 9.4
Acinetobacter | Carbapenems | 2015 | Norway  | 9.4
Acinetobacter | Carbapenems | 2015 | Malta  | 13.3
Acinetobacter | Carbapenems | 2015 | Slovakia  | 28.2
Acinetobacter | Carbapenems | 2015 | Slovenia  | 38.7
Acinetobacter | Carbapenems | 2015 | Spain  | 53.7
Acinetobacter | Carbapenems | 2015 | Hungary  | 55.2
Acinetobacter | Carbapenems | 2015 | Portugal  | 57.7
Acinetobacter | Carbapenems | 2015 | Poland  | 65.6
Acinetobacter | Carbapenems | 2015 | Latvia  | 68.9
Acinetobacter | Carbapenems | 2015 | Bulgaria  | 73.8
Acinetobacter | Carbapenems | 2015 | Italy  | 78.3
Acinetobacter | Carbapenems | 2015 | Lithuania  | 80.8
Acinetobacter | Carbapenems | 2015 | Romania  | 81.5
Acinetobacter | Carbapenems | 2015 | Cyprus  | 83.1
Acinetobacter | Carbapenems | 2015 | Croatia  | 89.0
Acinetobacter | Carbapenems | 2015 | Greece  | 93.5
Acinetobacter | Carbapenems | 2015 | Estonia | 1
Acinetobacter | Carbapenems | 2015 | Iceland | 1
Acinetobacter | Carbapenems | 2015 | Luxembourg | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Belgium | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | UnitedKingdom  | 1.3
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Ireland | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Finland | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Denmark  | 8.6
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Germany  | 4.2
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Sweden | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Netherlands  | 0.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Austria | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | CzechRepublic | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | France  | 4.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Malta | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Norway  | 0.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Slovakia | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Slovenia  | 12.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Spain | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Portugal  | 64.3
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Latvia | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Hungary  | 41.6
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Poland  | 36.9
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Bulgaria  | 32.8
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Italy  | 77.4
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Cyprus  | 47.8
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Lithuania | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Romania  | 50.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Greece  | 74.5
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Croatia | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Iceland | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Luxembourg | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2012 | Estonia | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Belgium | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | UnitedKingdom  | 1.3
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Ireland  | 0.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Finland  | 0.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Denmark  | 1.8
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Germany  | 5.2
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Sweden  | 5.6
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Netherlands  | 1.6
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Austria  | 5.9
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | CzechRepublic  | 4.4
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | France  | 4.1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Malta | 1
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Norway  | 0.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Slovakia  | 24.8
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Slovenia  | 16.0
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Spain  | 66.2
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Portugal  | 56.3
Acinetobacter | Fluoroquinolones, Aminoglycosides and Carbapenems | 2013 | Latvia | 1
